Sample_Name	Other_ID	Other_ID_2	Genus	Species	BreedCategory	BreedAbr.	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	BioProject	Accession	SeqPlatform	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)	CoverageX	CoverageRatio	Mean Depth	BoC %	Date Sequenced	Notes	Reference	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	"Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)"
AustralianShepherd04		AustralianShepherd04_33489	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJNA685036	SAMN17192046	Illumina NovaSeq 6000		European_Dogs		M		28.2482	28.3183	0.99752457						D		0	AustralianShepherd04	Dogs	European_Dogs
AustralianShepherd05		AustralianShepherd05_33555	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJNA685036	SAMN17192047	Illumina NovaSeq 6000		European_Dogs		F										D		0	AustralianShepherd05	Dogs	European_Dogs
AustralianShepherd06	ERR2759444	AustralianShepherd06	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJEB16012	SAMEA4867934	Illumina NovaSeq 6000		European_Dogs		M		35.179	6.47021	5.43707237						D		0	AustralianShepherd06	Dogs	European_Dogs
AustralianShepherd07	CRR037906	AustralianShepherd07_29479	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJNA648123	SAMN15625719	Illumina HiSeq 3000		European_Dogs		M		20.5594	11.4561	1.7946247						D		0	AustralianShepherd07	Dogs	European_Dogs
AustralianTerrier01	AR001	AustralianTerrier01	Canis	familiaris	Australian_Terrier	AUST									0				PRJEB16012	SAMEA4504840	Illumina HiSeq 2500		European_Dogs		M		29.0017	16.1808	1.79235267						D		0	AustralianTerrier01	Dogs	European_Dogs
AustralianTerrier02	CRR055133	AustralianTerrier02_30508	Canis	familiaris	Australian_Terrier	AUST									0				PRJNA648123	SAMN15625721	Illumina HiSeq 3000		European_Dogs				22.337	12.3638	1.80664521						D		0	AustralianTerrier02	Dogs	European_Dogs
AustralianTerrier03	CRR078118	AustralianTerrier03_8663	Canis	familiaris	Australian_Terrier	AUST									0				PRJNA648123	SAMN15625720	Illumina HiSeq 3000		European_Dogs		M		17.55	17.7788	0.98713074						D		0	AustralianTerrier03	Dogs	European_Dogs
Basenji01		Basenji01	Canis	familiaris	Basenji	BSJI									0				PRJNA274504	SAMN03366708	Illumina HiSeq 2000		African_NearEast_India_Dogs		F		6.41785	3.82856	1.67630911						D		0	Basenji01	Dogs	African_NearEast_India_Dogs
Basenji02		Basenji02	Canis	familiaris	Basenji	BSJI									0				PRJNA263947	SAMN04196845	Illumina HiSeq 2000		African_NearEast_India_Dogs		F		13.9615	14.1515	0.98657386						D		0	Basenji02	Dogs	African_NearEast_India_Dogs
Basenji03		Basenji03	Canis	familiaris	Basenji	BSJI									0				PRJNA263947	SAMN03580393	Illumina HiSeq 2000		African_NearEast_India_Dogs		M		26.9196	27.6907	0.97215311						D		0	Basenji03	Dogs	African_NearEast_India_Dogs
Basenji04	CFA.118003	Basenji04	Canis	familiaris	Basenji	BSJI									0				PRJNA263947	SAMN06159689	Illumina HiSeq X Ten		African_NearEast_India_Dogs				38.846	21.4699	1.80932375						D		0	Basenji04	Dogs	African_NearEast_India_Dogs
Basenji05	SRR10752616	Basenji05	Canis	familiaris	Basenji	BSJI									0				PRJNA263947	SAMN13655894	Illumina NovaSeq 6000		African_NearEast_India_Dogs				37.1408	36.8185	1.00875375						D		0	Basenji05	Dogs	African_NearEast_India_Dogs
Basenji06	SRR10752639	Basenji06	Canis	familiaris	Basenji	BSJI									0				PRJNA263947	SAMN13655905	Illumina NovaSeq 6000		African_NearEast_India_Dogs		F		29.9219	29.6177	1.01027089						D		0	Basenji06	Dogs	African_NearEast_India_Dogs
BassetHound01	CRR037845	BassetHound01_10376	Canis	familiaris	Basset_Hound	BASS									0				PRJNA648123	SAMN15625722	Illumina HiSeq 3000		European_Dogs		M		19.9632	19.779	1.00931291						D		0	BassetHound01	Dogs	European_Dogs
BassetHound02	CRR037859	BassetHound02_12885	Canis	familiaris	Basset_Hound	BASS									0				PRJNA648123	SAMN15625723	Illumina HiSeq 3000		European_Dogs		F		22.3741	12.4367	1.79903833						D		0	BassetHound02	Dogs	European_Dogs
BassetHound03	CRR037862	BassetHound03_13196	Canis	familiaris	Basset_Hound	BASS									0				PRJNA648123	SAMN15625724	Illumina HiSeq 3000		European_Dogs		F		18.8491	18.7363	1.0060204						D		0	BassetHound03	Dogs	European_Dogs
BassetHound04	SRR10077555	BassetHound04	Canis	familiaris	Basset_Hound	BASS									0				PRJNA263947	SAMN12700545	Illumina NovaSeq 6000		European_Dogs		M		50.3534	50.173	1.00359556						D		0	BassetHound04	Dogs	European_Dogs
BavarianHound01	BG064	BavarianHound01	Canis	familiaris	Bavarian_Hound										0				PRJEB16012	SAMEA104091562	Illumina HiSeq 3000		European_Dogs		M		36.6783	20.5181	1.78760704						D		0	BavarianHound01	Dogs	European_Dogs
Beagle01		Beagle01_16145	Canis	familiaris	Beagle	BEAG									0				PRJNA288568	SAMN03801644	Illumina HiSeq 2000		European_Dogs		F		51.8518	29.212	1.77501712			3/23/14			D		0	Beagle01	Dogs	European_Dogs
Beagle02		Beagle02	Canis	familiaris	Beagle	BEAG									0				PRJNA176193	SAMN01737209	Illumina HiSeq 2000		European_Dogs		F		49.3575	49.0613	1.00603735						D		0	Beagle02	Dogs	European_Dogs
Beagle03		Beagle03	Canis	familiaris	Beagle	BEAG									0				PRJEB5500	SAMEA2376414	Illumina HiSeq 2000		European_Dogs		F		15.3425	15.3655	0.99850314						D		0	Beagle03	Dogs	European_Dogs
