Sample	name_haplo_VCF	ena_prj	Bam	Genus	Species	Site_Region	Site_updated	Country	Lat	Long	Meta_Population	Cov_reported	Mean_Depth	BoC.	Spcode	Age_Mean_BP	Wolf_Dog_PCA	Dog_PCA
C62_Apalle	C62_Apalle		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/C62_Apalle_merged_P8902_seqprep_reheader.bam	Canis	familiaris	Apalle	Apalle1	Sweden	59.7	17.6	European_Dogs	0.7	0.78	49.87	D	3100	Dogs	European_Dogs
C88_Gokhem	C88_Gokhem		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/C88_Gokhem_DNA49_PON001_merged_reheader.bam	Canis	familiaris	Fralsegardenm	Fralsegardenm1	Sweden	58.1	13.24	European_Dogs	0.7	0.73	50.21	D	1150	Dogs	European_Dogs
C89_Ajvide	C89_Ajvide		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/C89_Ajvide_DNA51_PON003_merged_reheader.bam	Canis	familiaris	Ajvide	Ajvide1	Sweden	57.17	18.12	European_Dogs	2.2	2.21	86.85	D	4800	Dogs	European_Dogs
C90_Ajvide	C90_Ajvide		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/C90_Ajvide_DNA54_PON006_merged_reheader.bam	Canis	familiaris	Ajvide	Ajvide2	Sweden	57.17	18.12	European_Dogs	0.6	0.57	42.34	D	4800	Dogs	European_Dogs
CANIS-ALAS-024	CANIS-ALAS-024		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/ALAS_024.bam	Canis	lupus	LillianCreek	LillianCreek1	USA	65.51	-148.57	Pleistocene_Wolves	1.04	1.24	69.11	W	82674	Pleistocene_Wolves	Wolves
CANIS-HMNH-007	CANIS-HMNH-007		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/HMNH_007.bam	Canis	lupus	Istallosko	Istallosko1	Hungary	48.07	20.43	Western_Eurasian_Wolves	1.09	1.2	68.55	W	3525	Western_Eurasian_Wolves	Wolves
CGG23	CGG23		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/CGG23.CanFam3.1Y.rmdup.bam	Canis	lupus	Yana	Yana8	Russia	70.72	135.43	Pleistocene_Wolves	4.7	3.39	91.2	W	33020	Pleistocene_Wolves	Wolves
CGG29	CGG29		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/CGG29.CanFam3.1Y.rmdup.bam	Canis	lupus	BungeToll	BungeToll1	Russia	68.92	134.48	Pleistocene_Wolves	6.56	3.13	93.05	W	48210	Pleistocene_Wolves	Wolves
CGG32	CGG32		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/CGG32.CanFam3.1Y.rmdup.bam	Canis	lupus	Tirekhtyakh	Tirekhtyakh4	Russia	68.89	147.21	Pleistocene_Wolves	14.55	14.51	99.32	W	50000	Pleistocene_Wolves	Wolves
CGG33	CGG33		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/CGG33.CanFam3.1Y.rmdup.bam	Canis	lupus	UlakhanSular	UlakhanSular2	Russia	61.61	129.23	Pleistocene_Wolves	15.28	15.95	99.28	W	16864	Pleistocene_Wolves	Wolves
CGG6	CGG6		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/CGG6.CanFam3.1Y.rmdup.bam	Canis	familiaris	Zhokhov	Zhokhov1	Russia	76.14	152.73	Arctic_Dogs	9.7	4.77	96.95	D	9515	Dogs	Arctic_Dogs
CLIO-VAL-050	CLIO-VAL-050		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/VAL_050.bam	Canis	lupus	Ogorokha	Ogorokha1	Russia	68.23	146.85	Pleistocene_Wolves	3.29	3.44	94.57	W	36050	Pleistocene_Wolves	Wolves
CTC	CTC		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/CTC_SRR3417116_rmdup.bam	Canis	familiaris	CherryTreeCave	CherryTreeCave1	Germany	49.8	10.8	European_Dogs	9.2	9.04	98.6	D	4716	Dogs	European_Dogs
Dog1-PU	Dog1-PU		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/Dog1-PU.CanFam3.1Y.rmdup.bam	Canis	familiaris	Parknabinnia	Parknabinnia1	Ireland	53	-9.1	European_Dogs	4.17	4.21	97.69	D	2733	Dogs	European_Dogs
DS-CANIS-ALAS-0016	DS-CANIS-ALAS-0016		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/ALAS_016.bam	Canis	lupus	Titaluk	Titaluk1	USA	69.72	-155.26	Pleistocene_Wolves	2.94	3.28	92.4	W	15542	Pleistocene_Wolves	Wolves
DS-CANIS-HMNH-011	DS-CANIS-HMNH-011		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/HMNH_011.bam	Canis	lupus	Leanybarlang	Leanybarlang1	Hungary	47.7	18.83	Western_Eurasian_Wolves	1.4	1.58	76.98	W	6719	Western_Eurasian_Wolves	Wolves
DS-WOL-VAL-011	DS-WOL-VAL-011		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/VAL_011.bam	Canis	lupus	Uyandina	Uyandina1	Russia	68.43	145.74	Pleistocene_Wolves	1.14	1.28	67.92	W	22553	Pleistocene_Wolves	Wolves
F3781_Siberia	F3781_Siberia		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/F3781_Siberia_LOW004_P6863_1003_L003_Undetermined_seqprep_reheader.bam	Canis	familiaris	Chukotka	Chukotka1	Russia	69.62	164.33	Arctic_Dogs	0.8	0.89	55.61	D	100	Dogs	Arctic_Dogs
HXH	HXH		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/HXH_SRR3417117_rmdup.bam	Canis	familiaris	Herxheim	Herxheim1	Germany	49.15	8.22	European_Dogs	9.4	9.15	99.22	D	7081	Dogs	European_Dogs
IN18-005	IN18-005		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/IN18_005.bam	Canis	lupus	BeleyaGora	BeleyaGora1	Russia	68.6	147.19	Pleistocene_Wolves	1.71	1.85	75.67	W	18148	Pleistocene_Wolves	Wolves
JAL385	JAL385		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JAL385_reheader.bam	Canis	lupus	Fairbanks	Fairbanks1	USA	67.41	-150.11	Pleistocene_Wolves	4.82	3.94	96.59	W	37616	Pleistocene_Wolves	Wolves
JAL48	JAL48		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JAL48_reheader.bam	Canis	lupus	Fairbanks	Fairbanks2	USA	64.95	-147.63	Pleistocene_Wolves	1.46	1.1	65.09	W	89816	Pleistocene_Wolves	Wolves
JAL69	JAL69		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JAL69_reheader.bam	Canis	lupus	Fairbanks	Fairbanks4	USA	64.86	-147.98	Pleistocene_Wolves	1.28	1.37	66.64	W	37604	Pleistocene_Wolves	Wolves
JK2174	JK2174		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JK2174_reheader.bam	Canis	lupus	HoehleFels	HoehleFels1	Germany	48.2	9.45	Western_Eurasian_Wolves	4.7	4.55	94.21	W	31364	Western_Eurasian_Wolves	Wolves
JK2175	JK2175		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JK2175_reheader.bam	Canis	lupus	HoehleFels	HoehleFels2	Germany	48.2	9.45	Western_Eurasian_Wolves	1.36	1.3	69.07	W	33163	Western_Eurasian_Wolves	Wolves
JK2179	JK2179		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JK2179_reheader.bam	Canis	lupus	HoehleFels	HoehleFels3	Germany	48.2	9.45	Western_Eurasian_Wolves	3.18	3.04	90.19	W	13229	Western_Eurasian_Wolves	Wolves
JK2183	JK2183		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/JK2183_reheader.bam	Canis	lupus	HoehleFels	HoehleFels5	Germany	48.2	9.45	Western_Eurasian_Wolves	7.76	7.62	95.87	W	32366	Western_Eurasian_Wolves	Wolves
LOW002	LOW002		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/LOW002_reheader.bam	Canis	lupus	Letniaya	Letniaya1	Russia	67.17	155.47	Pleistocene_Wolves	5.67	5.83	98.65	W	32781	Pleistocene_Wolves	Wolves
LOW003	LOW003		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/LOW003_reheader.bam	Canis	lupus	Unnegen	Unnegen1	Russia	68.92	134.48	Pleistocene_Wolves	5.87	6.23	98.45	W	44450	Pleistocene_Wolves	Wolves
LOW006	LOW006		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/LOW006_reheader.bam	Canis	lupus	Tirekhtyakh	Tirekhtyakh1	Russia	68.34	146.02	Pleistocene_Wolves	3.02	3.34	92.22	W	34383	Pleistocene_Wolves	Wolves
LOW007	LOW007		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/LOW007_reheader.bam	Canis	lupus	Tirekhtyakh	Tirekhtyakh2	Russia	68.34	146.02	Pleistocene_Wolves	1.98	2.16	84.57	W	29315	Pleistocene_Wolves	Wolves
NGDG	NGDG		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/NGDG_fullmerge_rmdup_rmdup_realgined_6_5_15.bam	Canis	familiaris	Newgrange	Newgrange1	Ireland	53.69	-6.48	European_Dogs	28	33.29	99.43	D	4800	Dogs	European_Dogs
OL4061_Veretye	OL4061_Veretye	PRJEB38079	/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/OL4061_Veretye_rmdup.bam	Canis	familiaris	Veretye	Veretye1	Russia	61.26	38.9	Arctic_Dogs	1.8	1.98	82.67	D	10930	Dogs	Arctic_Dogs
OL4222_Greece	OL4222_Greece		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/OL4222_Greece_rmdup.bam	Canis	familiaris	Skoteini	Skoteini1	Greece	38.51	23.98	European_Dogs	4.5	4.73	96.85	D	6544	Dogs	European_Dogs
OL4223_Baikal	OL4223		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/OL4223_Baikal_rmdup.bam	Canis	familiaris	PadKalashkinova	PadKalashkinova2	Russia	52.69	103.68	Arctic_Dogs	2.2	2.35	84.69	D	6900	Dogs	Arctic_Dogs
PON012	PON012		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/PON012_reheader.bam	Canis	lupus	Alvastra	Alvastra1	Sweden	58.3	14.68	Western_Eurasian_Wolves	2.1	2.25	86.21	W	5079	Western_Eurasian_Wolves	Wolves
SC19.MCJ010	SC19.MCJ010		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/SC19.MCJ010.bam	Canis	lupus	QuartzCreek	QuartzCreek1	Canada	60.99	-130.49	Pleistocene_Wolves	3.07	3.21	88.59	W	29943	Pleistocene_Wolves	Wolves
SC19.MCJ014	SC19.MCJ014		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/SC19.MCJ014.bam	Canis	lupus	IndependenceCreek	IndependenceCreek1	Canada	63.36	-139.12	Pleistocene_Wolves	1.07	1.12	60.12	W	29143	Pleistocene_Wolves	Wolves
