Sample	Dog_PCA	Wolf_Dog_PCA
Chinook03_33141	Americas_Dogs	Americas_Dogs
Chinook04_33143	Americas_Dogs	Americas_Dogs
Chinook05_33256	Americas_Dogs	Americas_Dogs
Chinook06_33257	Americas_Dogs	Americas_Dogs
Chinook07_33317	Americas_Dogs	Americas_Dogs
Chinook08_33360	Americas_Dogs	Americas_Dogs
Chinook09_33362	Americas_Dogs	Americas_Dogs
Chinook10_33386	Americas_Dogs	Americas_Dogs
ChongqingDog01	East_Asian_Dogs	East_Asian_Dogs
ChowChow01_15630	East_Asian_Dogs	East_Asian_Dogs
ChowChow02_13802	East_Asian_Dogs	East_Asian_Dogs
ChowChow03	East_Asian_Dogs	East_Asian_Dogs
ChowChow04	East_Asian_Dogs	East_Asian_Dogs
ChowChow05_29846	East_Asian_Dogs	East_Asian_Dogs
ChowChow06_30105	East_Asian_Dogs	East_Asian_Dogs
ChowChow07_30210	East_Asian_Dogs	East_Asian_Dogs
CirnecodellEtna01_26441	European_Dogs	European_Dogs
CirnecodellEtna02_31283	European_Dogs	European_Dogs
CirnecodellEtna03_31284	European_Dogs	European_Dogs
ClumberSpaniel01	European_Dogs	European_Dogs
ClumberSpaniel02_27422	European_Dogs	European_Dogs
ClumberSpaniel03_33091	European_Dogs	European_Dogs
ClumberSpaniel04_33092	European_Dogs	European_Dogs
CockerSpanielAmerican01_11414	European_Dogs	European_Dogs
CockerSpanielAmerican02	European_Dogs	European_Dogs
CockerSpanielAmerican03	European_Dogs	European_Dogs
CockerSpanielAmerican04	European_Dogs	European_Dogs
CockerSpanielAmerican05	European_Dogs	European_Dogs
CockerSpanielAmerican06	European_Dogs	European_Dogs
CockerSpanielAmerican07_12451	European_Dogs	European_Dogs
CockerSpanielAmerican08_12452	European_Dogs	European_Dogs
CockerSpanielAmerican09_12453	European_Dogs	European_Dogs
CockerSpanielEnglish01	European_Dogs	European_Dogs
CockerSpanielEnglish02	European_Dogs	European_Dogs
CockerSpanielEnglish03	European_Dogs	European_Dogs
CockerSpanielEnglish04	European_Dogs	European_Dogs
CockerSpanielEnglish05	European_Dogs	European_Dogs
CockerSpanielEnglish06	European_Dogs	European_Dogs
CockerSpanielEnglish07_12021	European_Dogs	European_Dogs
CockerSpanielEnglish08_13589	European_Dogs	European_Dogs
CockerSpanielEnglish09_28381	European_Dogs	European_Dogs
Collie01_13303	European_Dogs	European_Dogs
Collie02_28861	European_Dogs	European_Dogs
Collie03_29554	European_Dogs	European_Dogs
Coonhound01	European_Dogs	European_Dogs
